BS_Name,BS_Lat,BS_Lon,Nearest_Router_Name,Nearest_Router_Lat,Nearest_Router_Lon,Router_Type,Router_Priority,Router_Site_ID,Route_Distance_KM,Status
Quảng Trị#CAX#Khe Sanh,16.6299,106.7378,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Quảng Trị#CAX#Tà Rụt,16.39185,106.9887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Quảng Trị#CAX#La Lay,16.37402,107.0053,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Huế#CAX#Phú Vinh,16.41302,107.8119,HUPV14,16.40872,107.83615,CSG,2,,3.2371,Success
Huế#CAX#Vinh Lộc,16.35248,107.9012,HUPL06,16.35535,107.88385,CSG,2,,1.8984,Success
Huế#CAX#Chân Mây_Lăng Cô,16.2408,108.0784,HUPL25,16.29091,108.01514,CSG,2,,11.9532,Success
Huế#CAX#Hưng Lộc,16.26203,107.7031,HUPL40,16.3217,107.7401,CSG,2,,8.9023,Success
Huế#CAX#Lộc An,16.26916,107.7815,HUPL18,16.29652,107.81027,CSG,2,,6.0782,Success
Huế#CAX#Phong Dinh,16.66089,107.3833,HUPD49,16.65211,107.39966,CSG,2,,2.1999,Success
Huế#CAX#Phong Phú,16.70486,107.3639,QTHL10,16.72602,107.33658,CSG,2,,4.0317,Success
Huế#CAX#Phong Quảng,16.66898,107.4792,HUQD06,16.62734,107.51794,CSG,2,,7.9028,Success
Huế#CAX#Phong Thái,16.55514,107.4529,HUPD22,16.55369,107.44243,CSG,2,,3.2763,Success
